id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2875421,2,3/14/2016 17:24,3/14/2016 17:32,1,-73.98215485,40.767936706542969,-73.96463013,40.765602111816406,N,455
id2377394,1,6/12/2016 0:43,6/12/2016 0:54,1,-73.98041534,40.738563537597656,-73.9994812,40.731151580810547,N,663
id3858529,2,1/19/2016 11:35,1/19/2016 12:10,1,-73.97902679,40.763938903808594,-74.00533295,40.710086822509766,N,2124
id3504673,2,4/6/2016 19:32,4/6/2016 19:39,1,-74.01004028,40.7199707,-74.01226807,40.706718444824219,N,429
id2181028,2,3/26/2016 13:30,3/26/2016 13:38,1,-73.97305298,40.793209075927734,-73.97292328,40.782520294189453,N,435
id0801584,2,1/30/2016 22:01,1/30/2016 22:09,6,-73.98285675,40.742195129394531,-73.99208069,40.749183654785156,N,443
id1813257,1,6/17/2016 22:34,6/17/2016 22:40,4,-73.96901703,40.757839202880859,-73.95740509,40.765895843505859,N,341
id1324603,2,5/21/2016 7:54,5/21/2016 8:20,1,-73.96927643,40.797779083251953,-73.92247009,40.76055908203125,N,1551
id1301050,1,5/27/2016 23:12,5/27/2016 23:16,1,-73.9994812,40.738399505615234,-73.98578644,40.732814788818359,N,255
id0012891,2,3/10/2016 21:45,3/10/2016 22:05,1,-73.98104858,40.744338989257813,-73.97299957,40.789989471435547,N,1225
id1436371,2,5/10/2016 22:08,5/10/2016 22:29,1,-73.98265076,40.763839721679688,-74.00222778,40.732990264892578,N,1274
id1299289,2,5/15/2016 11:16,5/15/2016 11:34,4,-73.99153137,40.749439239501953,-73.95654297,40.77062988,N,1128
id1187965,2,2/19/2016 9:52,2/19/2016 10:11,2,-73.96298218,40.756679534912109,-73.98440552,40.760719299316406,N,1114
id0799785,2,6/1/2016 20:58,6/1/2016 21:02,1,-73.95630646,40.767940521240234,-73.96611023,40.76300048828125,N,260
id2900608,2,5/27/2016 0:43,5/27/2016 1:07,1,-73.99219513,40.727226257324219,-73.97465515,40.783069610595703,N,1414
id3319787,1,5/16/2016 15:29,5/16/2016 15:32,1,-73.955513,40.768592834472656,-73.94876099,40.77154541015625,N,211
id3379579,2,4/11/2016 17:29,4/11/2016 18:08,1,-73.99116516,40.755561828613281,-73.99929047,40.725353240966797,N,2316
id1154431,1,4/14/2016 8:48,4/14/2016 9:00,1,-73.99425507,40.745803833007813,-73.99965668,40.723342895507813,N,731
id3552682,1,6/27/2016 9:55,6/27/2016 10:17,1,-74.00398254,40.7130127,-73.97919464,40.749923706054688,N,1317
id3390316,2,6/5/2016 13:47,6/5/2016 13:51,1,-73.98388672,40.738197326660156,-73.99120331,40.727870941162109,N,251
id2070428,1,2/28/2016 2:23,2/28/2016 2:31,1,-73.98036957,40.742420196533203,-73.96285248,40.760635375976563,N,486
id0809232,2,4/1/2016 12:12,4/1/2016 12:23,1,-73.97953796,40.753360748291016,-73.96399689,40.763458251953125,N,652
id2352683,1,4/9/2016 3:34,4/9/2016 3:41,1,-73.99586487,40.758811950683594,-73.99332428,40.740322113037109,N,423
